code;canonical;country;state;city;name
SUN;SUN;USA;NM ;SUNLAND PARK;SUNLAND PARK
SWF;SWF;USA;WY ;ROCK SPRINGS;SWEETWATER DOWNS
TAM;TAM;USA;FL ;OLDSMAR;TAMPA BAY DOWNS
TDN;TDN;USA;OH ;NORTH RANDALL;THISTLEDOWN
TGD;TGD;USA;NY ;NICHOLS;TIOGA DOWNS
TIL;TIL;USA;OR ;TILLAMOOK;TILLAMOOK COUNTY FAIR
TIM;TIM;USA;MD ;TIMONIUM;TIMONIUM
TP ;TP ;USA;KY ;FLORENCE;TURFWAY PARK
TRM;TRM;USA;TX ;WILLOW PARK;TRINITY MEADOWS
TRY;TRY;USA;NC ;TRYON;TRYON
TS ;TS ;CAN;AB ;CALGARY;TROUT SPRINGS
TUP;TUP;USA;AZ ;PHOENIX;TURF PARADISE
UN ;UN ;USA;OR ;UNION;EASTERN OREGON LIVESTOCK SHOW
UNI;UNI;USA;PA ;UNIONVILLE;PENNSYLVANIA HUNT CUP
VEG;VEG;CAN;AB ;VEGREVILLE;VEGREVILLE AGRICULTURAL SOCIETY
WBR;WBR;USA;UT ;OGDEN;WEBER DOWNS
WCD;WCD;USA;ND ;FESSENDEN;WELLS CO FAIR
WDS;WDS;USA;KS ;KANSAS CITY;THE WOODLANDS
WIL;WIL;USA;PA ;KENNETT SQUARE;WILLOWDALE STEEPLECHASE
WMF;WMF;USA;MT ;MISSOULA;WESTERN MT FAIR
WNT;WNT;USA;DE ;WINTERTHUR;WINTERTHUR
WO ;WO ;CAN;ON ;REXDALE;WOODBINE
WPR;WPR;USA;NV ;ELY;WHITE PINE RACEWAY
WRD;WRD;USA;OK ;CLAREMORE;WILL ROGERS DOWNS
WTS;WTS;USA;WA ;WAITSBURG;WAITSBURG RACE TRACK
WW ;WW ;USA;WA ;WALLA WALLA;WALLA WALLA
WYO;WYO;USA;WY ;EVANSTON;WYOMING DOWNS
YAV;YAV;USA;AZ ;PRESCOTT;YAVAPAI DOWNS
YD ;YD ;USA;MT ;BILLINGS;YELLOWSTONE DOWNS
YKT;YKT;CAN;SK ;YORKTON;YORKTON EXH. ASSOC.
YM ;YM ;USA;WA ;YAKIMA;YAKIMA MEADOWS
YMA;YMA;USA;AZ ;YUMA;YUMA COUNTY FAIR
ZIA;ZIA;USA;NM ;HOBBS;ZIA PARK
AAL;AAL;DEN;;;AALBORG
AAR;AAR;SWI;;;AARAU
ABB;ABB;FR ;;;ABBEVILLE
ABP;ABP;AUS;;;BELMONT
ABU;ABU;UAE;;;ABU DHABI
ABY;ABY;AUS;;;ALBURY
AC ;AC ;MEX;;;AGUA CALIENTE
ACH;ACH;AUS;;;CHELTENHAM
ACV;ACV;FR ;;;AGON-COUTAINVILLE
AD ;AD ;TUR;;;ADANA
ADB;ADB;AUS;;;ADAMINABY
ADI;ADI;OMN;;;AL ADIYAT
ADR;ADR;AUS;;;ADELAIDE RIVER
AEP;AEP;FR ;;;AIX-EN-PROVENCE
AFJ;AFJ;OMN;;;AL FELAIJ
AGE;AGE;FR ;;;AGEN
AIN;AIN;ENG;;;AINTREE
AJA;AJA;FR ;;;AJACCIO
AL ;AL ;ITY;;;ALBENGA
ALA;ALA;UAE;;;AL AIN
ALD;ALD;GER;;;ALTDORF
ALN;ALN;FR ;;;ALENCON
ALO;ALO;GER;;;ALTOTTING
ALX;ALX;AUS;;;ALEXANDRA
AM ;AM ;ITY;;;AMELIA
AMI;AMI;FR ;;;AMIENS
ANC;ANC;AUS;;;NEWCASTLE
AND;AND;COL;;;ANDES
ANG;ANG;FR ;;;ANGERS
ANK;ANK;TUR;;;YIL ANKARA
ANT;ANT;SPA;;;ANTELA
APH;APH;AUS;;;ALPHA
ARA;ARA;JPN;;;ARAO
ARC;ARC;AUS;;;ARAMAC
ARD;ARD;AUS;;;ARDLETHAN
ARG;ARG;FR ;;;ARGENTAN
ARL;ARL;SAF;;;ARLINGTON
ARM;ARM;AUS;;;ARMIDALE
ARR;ARR;FR ;;;ARRAS
ART;ART;AUS;;;ARARAT
ASC;ASC;ENG;;;ASCOT
ASH;ASH;NZ ;;;ASHBURTON
ASN;ASN;AUS;;;SANDOWN
ASP;ASP;NZ ;;;ASCOT PARK
ASR;ASR;AUS;;;ASCOT
AUC;AUC;NZ ;;;AUCKLAND
AUG;AUG;AUS;;;AUGATHELLA
AUL;AUL;FR ;;;AULLENE
AUR;AUR;GTM;;;LA AURORA
AUT;AUT;FR ;;;AUTEUIL
AVC;AVC;AUS;;;AVOCA SHIRE
AVE;AVE;SWI;;;AVENCHES
AVI;AVI;FR ;;;AVIGNON
AVL;AVL;AUS;;;ADAVALE
AVO;AVO;NZ ;;;AVONDALE
AVR;AVR;FR ;;;AVRANCHES
AWA;AWA;NZ ;;;AWAPUNI
AWP;AWP;NZ ;;;AWAKINO POINT
AYR;AYR;ENG;;;AYR
AZL;AZL;ARG;;;AZUL
BAD;BAD;GER;;;BADEN BADEN
BAH;BAH;BHR;;;RASHID EQUESTRIAN CLUB
BAN;BAN;IND;;;BANGALORE
BAT;BAT;ENG;;;BATH & SOMERSET COUNTY
BAY;BAY;FR ;;;BAYEUX
BBG;BBG;AUS;;;BUNDABERG
BBR;BBR;AUS;;;BUNBURY
BBT;BBT;AUS;;;BURRUMBEET
BBY;BBY;FR ;;;BIARRITZ-BAYONNE
BBZ;BBZ;FR ;;;BARBEZIEUX
BCH;BCH;AUS;;;BUCHAN
BCK;BCK;AUS;;;BARROW CREEK
BDA;BDA;AUS;;;BUNDARRA
BDN;BDN;AUS;;;BARADINE
BDR;BDR;AUS;;;BEDOURIE
BDS;BDS;AUS;;;BEAUDESERT
BDW;BDW;AUS;;;BRAIDWOOD
BED;BED;AUS;;;BEDGERABONG
BEG;BEG;AUS;;;BEGA
BEN;BEN;AUS;;;BENDIGO
BET;BET;AUS;;;BETOOTA
BEV;BEV;ENG;;;BEVERLEY
BGR;BGR;AUS;;;BINGARA
BH ;BH ;GER;;;BAD-HARZBURG
BIL;BIL;GER;;;BILLIGHEIM
BIN;BIN;AUS;;;BINNAWAY
BKA;BKA;AUS;;;BALAKLAVA
BKL;BKL;AUS;;;BLACKALL
BKT;BKT;AUS;;;BURKETOWN
BLF;BLF;AUS;;;BLUFF
BLI;BLI;GER;;;BLIESKASTEL
BLL;BLL;IRE;;;BELLEWSTOWN
